Model;acc;val_acc;test_acc
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9152349388996229;0.9201346679742974;0.7271659325047912
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9261276446000904;0.9237819175651987;0.748604992605341
model : layers: [40, 10] ['relu', 'relu'] optimizer: SGD;0.8811704693765904;0.8930141198159067;0.7215859031537206
model : layers: [40, 10] ['relu', 'relu'] optimizer: SGD;0.672294565009594;0.6737117777701949;0.6436123348717823
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adam;0.9400240937144735;0.9413635107272024;0.7368575624782433
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adam;0.9432093859116295;0.937155147441854;0.7168869310363624
model : layers: [40, 10] ['relu', 'relu'] optimizer: RMSprop;0.938604740981716;0.9404283136834513;0.7552129222257897
model : layers: [40, 10] ['relu', 'relu'] optimizer: RMSprop;0.9349243275958807;0.9312634426328048;0.7229074890392992
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9396114928039168;0.9365005153083694;0.7744493392595636
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9449588183875375;0.9371551463270191;0.7493392071184783
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adagrad;0.8787278648195287;0.8757130848751605;0.7556534507551207
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adagrad;0.8422538029329293;0.844851771953297;0.7378854624850459
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adamax;0.9036160473869507;0.90367529766381;0.7302496329453199
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adamax;0.9233879641809299;0.9253717433979298;0.7436123347317419
model : layers: [40, 10] ['relu', 'relu'] optimizer: Nadam;0.9330758713416347;0.9313569666460166;0.7308370044753065
model : layers: [40, 10] ['relu', 'relu'] optimizer: Nadam;0.9548447748146256;0.9538950715142595;0.7121879589540143
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.9486392315726937;0.9423922201174186;0.7372980910950996
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.7751811329727942;0.7723744475929594;0.7179148310781751
model : layers: [40, 20] ['relu', 'relu'] optimizer: SGD;0.9360631110664601;0.9286449118691967;0.6917767987727419
model : layers: [40, 20] ['relu', 'relu'] optimizer: SGD;0.9262761813698571;0.9217244926921938;0.7509544786552675
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adam;0.9455859722083165;0.9380903366817612;0.6787077827250555
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adam;0.9581621012227538;0.9546432232796549;0.7462555065379094
model : layers: [40, 20] ['relu', 'relu'] optimizer: RMSprop;0.7882523806762756;0.7893014120440214;0.6170337739319879
model : layers: [40, 20] ['relu', 'relu'] optimizer: RMSprop;0.9569407956010468;0.9526793173640857;0.70895741551283
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.9536894878487492;0.9450107531106964;0.7566813510069939
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.9538875368219838;0.9509959747255501;0.7533039647051941
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adagrad;0.894786351945833;0.8965678453935962;0.7917767988602671
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adagrad;0.8638081560533728;0.8639296730273924;0.7906020558353037
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adamax;0.7704774634392006;0.7731226038176943;0.6126284874833453
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adamax;0.9203842178158512;0.9192930016327672;0.7384728341200628
model : layers: [40, 20] ['relu', 'relu'] optimizer: Nadam;0.7901173426342724;0.7899560435810694;0.6372980911301096
model : layers: [40, 20] ['relu', 'relu'] optimizer: Nadam;0.9660675695544079;0.9602543726155145;0.7458149780085783
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.9571718540753316;0.9538950648252504;0.7491923641178226
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.9630308152110791;0.9607219683112838;0.7248164464548645
model : layers: [40, 30] ['relu', 'relu'] optimizer: SGD;0.9209288534253058;0.9194800358408128;0.7459618207816685
model : layers: [40, 30] ['relu', 'relu'] optimizer: SGD;0.9350068503844594;0.9376227426192251;0.7415565344730662
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adam;0.9570398191305035;0.9505283784333441;0.7303964757009049
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adam;0.7844564375053652;0.7811652481539216;0.6252569750017006
model : layers: [40, 30] ['relu', 'relu'] optimizer: RMSprop;0.9563136417281305;0.9540821040110337;0.7490455213447325
model : layers: [40, 30] ['relu', 'relu'] optimizer: RMSprop;0.9610173128376454;0.9569811985700735;0.7077826724878666
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.9589542952161267;0.9537080278691369;0.7165932451750914
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.9505867179453602;0.9474422469181909;0.7596182085869071
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adagrad;0.8856430800443782;0.8827270175134635;0.770778267184018
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adagrad;0.9042762097722775;0.899653975197478;0.7399412629187719
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adamax;0.9449918270966922;0.9431403695751059;0.7698972099152955
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adamax;0.7789770748196161;0.7797624620253719;0.6204111601287573
model : layers: [40, 30] ['relu', 'relu'] optimizer: Nadam;0.973015801463439;0.9707285195998767;0.7415565344205511
model : layers: [40, 30] ['relu', 'relu'] optimizer: Nadam;0.9707217283630664;0.9645562493621629;0.7139500733689239
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9580630744440664;0.9448237116952435;0.718502202713192
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9672063518012383;0.9640886608738009;0.7162995595413858
model : layers: [40, 40] ['relu', 'relu'] optimizer: SGD;0.937317420592828;0.9361264369368029;0.7199706314943961
model : layers: [40, 40] ['relu', 'relu'] optimizer: SGD;0.9396940126373974;0.9379968221056264;0.7149779735157669
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adam;0.9595319411568921;0.9560460059856617;0.7160058737851449
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adam;0.9627997554520547;0.9625923490207678;0.7298091041709183
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.967008302918506;0.952211719957045;0.7308370044402964
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.96633163477434;0.9624988305817304;0.7474302495628726
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.962552193333931;0.9600673312000616;0.7239353890811119
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9625191871342489;0.9561395294804753;0.7541850219739166
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.9057285745253949;0.8964743252432872;0.7797356828718983
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.9124127348606393;0.9072290282192371;0.727459618278537
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adamax;0.9521546043481792;0.946132980421552;0.7208516887631186
