Model;acc;val_acc;test_acc
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9983720196054336;0.9939720577132768;0.9051909892379245
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9984848499298096;0.996255369336216;0.8607247796394916
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9981947148099859;0.9955247094211148;0.9112634672123818
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9984203754587376;0.996712031353771;0.941234084231146
model : layers: [40, 10] ['relu', 'relu'] optimizer: SGD;0.9965506157976516;0.993698060327452;0.813320274252616
model : layers: [40, 10] ['relu', 'relu'] optimizer: SGD;0.9974854956281946;0.9935153954180858;0.9292850147031547
model : layers: [40, 10] ['relu', 'relu'] optimizer: SGD;0.9938104507770944;0.9901360943171736;0.8932419197099333
model : layers: [40, 10] ['relu', 'relu'] optimizer: SGD;0.9963249551488998;0.9872134544009084;0.894613124387855
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adam;0.9974210211571227;0.9941547223450071;0.9341821743505592
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adam;0.9985976802541855;0.9976253556229664;0.947894221351616
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adam;0.9982591892810578;0.9962553690803553;0.9569049951028403
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adam;0.9972598349794428;0.9957073743522564;0.9151811949069539
model : layers: [40, 10] ['relu', 'relu'] optimizer: RMSprop;0.9977595121302503;0.995433376988207;0.8748285994356924
model : layers: [40, 10] ['relu', 'relu'] optimizer: RMSprop;0.9977111562769464;0.996072704170989;0.776885406499278
model : layers: [40, 10] ['relu', 'relu'] optimizer: RMSprop;0.9980012913967701;0.9966206988990879;0.9167482860057992
model : layers: [40, 10] ['relu', 'relu'] optimizer: RMSprop;0.9975338514814985;0.9863914617752635;0.8977473065855454
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9976950376591784;0.9889487729615649;0.9416258570029383
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9981624775744499;0.9938807255362297;0.9224289912084641
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.9967923950641713;0.9932413980540363;0.9132223310479922
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adadelta;0.998065765867842;0.9950680468918385;0.9332027424210783
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adagrad;0.9968568695352432;0.9927847360582567;0.8687561214729107
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adagrad;0.9967279205930993;0.9937893925262745;0.9075416258570029
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adagrad;0.9969052253885472;0.9932413980540363;0.9279138100018814
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adagrad;0.9954867870249646;0.9934240629634026;0.9222331048108922
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adamax;0.9986299174897214;0.9936980600715913;0.9365328109696376
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adamax;0.9987427478140973;0.9961640366256721;0.8906953966932829
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adamax;0.9975016142459626;0.9963467012574024;0.9026444662095985
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adamax;0.612733720119041;0.6083660621013323;0.5571008815821424
model : layers: [40, 10] ['relu', 'relu'] optimizer: Nadam;0.9985815616364174;0.9974426909912361;0.8632713026561419
model : layers: [40, 10] ['relu', 'relu'] optimizer: Nadam;0.9964700227088117;0.9960727044486251;0.8219392752437237
model : layers: [40, 10] ['relu', 'relu'] optimizer: Nadam;0.9979529355434661;0.9927847360582567;0.9243878550557502
model : layers: [40, 10] ['relu', 'relu'] optimizer: Nadam;0.9984526126942737;0.9959813714386698;0.856807051921568
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.9980012913967701;0.9962553690803553;0.941234084231146
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.998130240338914;0.9959813719721665;0.8646425073574152
