Model;acc;val_acc;test_acc
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Nadam;0.971985654070047;0.953869498915665;0.957434820468166
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Nadam;0.971717828106399;0.96145674853115;0.956871382471956
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Nadam;0.97297660004659;0.957056142310633;0.955949393023613
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Nadam;0.970325142526685;0.951593316288747;0.955078625211289
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Nadam;0.972387387268646;0.951138086583075;0.954771295395175
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Adam;0.967593340199674;0.951896809572877;0.954259079034984
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Nadam;0.96995018883391;0.957359630167936;0.953849305946832
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Nadam;0.971610698442491;0.95220029932957;0.95338831122266
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: RMSprop;0.965638223959475;0.950379360608519;0.952978538134508
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Nadam;0.97067331361671;0.953414258808576;0.952568765046355
model : layers: [40, 30] ['relu', 'relu'] optimizer: Nadam;0.961486954011916;0.952807286259618;0.952466321774317
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Nadam;0.963950935783725;0.94946888573072;0.952363878502279
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Nadam;0.971798175110087;0.954021243748788;0.952261435230241
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adam;0.969843060312992;0.952807279385638;0.952158991958203
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.968503942403549;0.953414253291302;0.951493110689956
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Nadam;0.973913982318206;0.95174506455886;0.950673564513651
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Adam;0.964084845892113;0.94871016427852;0.950622342877632
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: RMSprop;0.967646902684988;0.948861907483594;0.950315013061517
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Nadam;0.964486582864492;0.952048558114331;0.949802796701327
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.966093526890834;0.944157815576504;0.949802796701327
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adam;0.952863032883355;0.944916540013459;0.948266147620755
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: RMSprop;0.96595961422828;0.951441569194446;0.947395379808431
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.961540521247979;0.948558417817349;0.947395379808431
model : layers: [40, 40] ['relu', 'relu'] optimizer: Nadam;0.956800037960559;0.945068277339472;0.947139271628336
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Adam;0.963897370782558;0.946585733630046;0.946985606720279
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Adam;0.963388503450262;0.948406674883615;0.946780720176202
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adam;0.955327006916042;0.941274657868109;0.946627055268145
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.956317954188825;0.947040972380428;0.946114838907955
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.959210451219223;0.945220027418527;0.946063617271935
model : layers: [40, 30] ['relu', 'relu'] optimizer: Nadam;0.954844924932224;0.942792106922914;0.945909952363878
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Nadam;0.957416032498379;0.948558418179137;0.94580750909184
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.960790611851023;0.943702576916569;0.945448957639707
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.963227809066145;0.948103185036476;0.945192849459612
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Nadam;0.960656698888355;0.944309556339507;0.945090406187573
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Nadam;0.973324773294885;0.944461303162466;0.945090406187573
model : layers: [40, 40] ['relu', 'relu'] optimizer: Nadam;0.961540519913427;0.9371775377864;0.944936741279516
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.960897742172628;0.945068282856746;0.944834298007478
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: RMSprop;0.962638599161637;0.94006069504256;0.944783076371459
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Nadam;0.97128930869729;0.945220026242715;0.944424524919326
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adam;0.959826447915313;0.940515931441317;0.943758643651078
